query,is_breakout,growth_pct
cat in the hat trend,true,
bramerton big cat sighting,false,4100
chainsmoker cat,false,3900
cat mail co,false,2350
chain smoker cat,false,2000
cucurella cat,false,1900
chainsmoker cat anime,false,1800
lambert orange cat viral tiktok,false,1600
cat dowling,false,1050
chainsmoker cat manga,false,800
cat dowling singer,false,750
the cat and the dragon anime,false,650
chewy.com cat treats,false,400
catnip acres abandoned cat family,false,400
the cat in the hat,false,350
chewy cat condo,false,350
cat in the hat,false,300
the cat and the dragon,false,300
figaro cat,false,250
figaro,false,250
why is my cat vomiting,false,250
chewy cat food,false,250
the cat in the hat movie,false,200
cat in the hat movie,false,200
chewy cat toys,false,190
