Country,websearch_region_cat
Romania,0.92
United States,0.38
New Zealand,0.43
United Kingdom,0.36
Australia,0.38
St. Helena,0.3
Canada,0.41
Singapore,0.55
Philippines,0.49
Ireland,0.36
Malaysia,0.63
United Arab Emirates,0.57
South Africa,0.42
Indonesia,0.77
Netherlands,0.47
Sri Lanka,0.43
Pakistan,0.51
Hong Kong,0.51
Norway,0.5
Sweden,0.4
Finland,0.5
India,0.41
Greece,0.52
Bangladesh,0.45
Czechia,0.51
Hungary,0.48
Denmark,0.48
Vietnam,0.56
Chile,0.57
Belgium,0.52
Thailand,0.56
Nigeria,0.36
Germany,0.52
Portugal,0.48
Austria,0.58
Switzerland,0.5
Poland,0.53
Spain,0.56
Mexico,0.54
Peru,0.64
Morocco,0.43
Saudi Arabia,0.57
Italy,0.49
Israel,0.45
Brazil,0.45
France,0.47
South Korea,0.36
Argentina,0.54
Colombia,0.48
Egypt,0.55
Türkiye,0.61
Ukraine,0.56
Taiwan,0.58
Russia,0.59
Iran,0.59
Japan,0.53
